shareHolderCode,shareHolderName,stocks,avg_1_Week_Return,avg_1_Month_Return,avg_3_Month_Return,avg_6_Month_Return,avg_1_Year_Return,count_1_Week_Return,count_1_Month_Return,count_3_Month_Return,count_6_Month_Return,count_1_Year_Return
42046,bfmصندوق سرمایه گذاری.ا.بازارگردانی بهمن گست,وبهمن,-0.003180149156958093,-0.01757295996823458,-0.02694093139367308,-0.14003341452119125,-0.38290498054358285,156,155,155,149,130
42224,شرکت بازرگانی تدارکات کارآمدپویاابریشم-س.خ-,وبهمن,0.037080144222154526,0.17294492089124386,0.4226941797500207,0.4016689219325444,0.350123954379646,4,4,4,4,4
60533,شرکت بهمن دیزل-سهامی عام-,وبهمن,,,,,,2,2,2,2,2
62539,صندوق سرمایه گذاری اعتمادداریک,وبهمن,,,,,,1,1,1,0,0
69384,صندوق سرمایه گذاری افرانمادپایدار,وبهمن,,,,,,3,3,3,0,0
70006,صندوق سرمایه گذاری سپیددماوند,وبهمن,,,,,,1,1,1,0,0
704,شرکت نفت پارس-سهامی عام-,شبصیر,-0.040957104339266026,-0.10363756566327892,-0.008029032504070055,-0.06819200895955652,0.14886017263832918,6,6,6,6,6
802,کارگزاری بانک صنعت ومعدن,شبصیر,0.03330264623487458,0.010777375644036441,-0.06398303992913752,0.10787364628384152,-0.010704966332136204,8,8,8,8,8
7422,شرکت گروه توسعه انرژی تدبیر-سهامی خاص-,شبصیر,,,,,,2,2,2,2,2
17149,شرکت بازرگانی وخدمات بندری ایران-سهامی خاص-,شبصیر,0.016014909016666384,0.007803553227463983,-0.03172280701145602,0.013156310133079108,-0.05689824092071491,4,4,4,4,4
20162,شرکت سرمایه گذاری صنایع شیمیایی ایران-سهامی عا,شبصیر,-0.021729170017649662,-0.028866315922765545,-0.37094536979168824,-0.34411719339633456,-0.42950259210932445,12,12,12,12,6
41982,شرکت گروه سرمایه گذاری آتیه دماوند-سهامی عام-,شبصیر,,,,,,1,1,1,1,1
46036,bfmصندوق سرمایه گذاری.ا.ب.تدبیرگران فردا,شبصیر,0.02311132668457384,0.02897679414061279,0.021692228902352815,-0.005524644255697923,-0.2290751003777147,166,162,159,142,117
48511,شخص حقیقی,شبصیر,0.02544228221014215,0.019240304897121214,-0.020494388531142323,-0.038048336692636936,-0.35344520024614223,67,67,66,63,63
